channel	labels	temperature	set	sample_name	subtype	sample_name_machine	state	sample_id
126	126-130N	41	Set1	RCH-ACV	TCF3.PBX1	RCH_ACV	pro.B	Set1_tmt16plex_126
127N	126-130N	44	Set1	RCH-ACV	TCF3.PBX1	RCH_ACV	pro.B	Set1_tmt16plex_127N
127C	126-130N	47	Set1	RCH-ACV	TCF3.PBX1	RCH_ACV	pro.B	Set1_tmt16plex_127C
128N	126-130N	50	Set1	RCH-ACV	TCF3.PBX1	RCH_ACV	pro.B	Set1_tmt16plex_128N
128C	126-130N	53	Set1	RCH-ACV	TCF3.PBX1	RCH_ACV	pro.B	Set1_tmt16plex_128C
129N	126-130N	56	Set1	RCH-ACV	TCF3.PBX1	RCH_ACV	pro.B	Set1_tmt16plex_129N
129C	126-130N	59	Set1	RCH-ACV	TCF3.PBX1	RCH_ACV	pro.B	Set1_tmt16plex_129C
130N	126-130N	63	Set1	RCH-ACV	TCF3.PBX1	RCH_ACV	pro.B	Set1_tmt16plex_130N
130C	134-130C	63	Set1	LC4-1	MEF2D.HNRNPUL1	LC4_1	early.pre.B	Set1_tmt16plex_130C
131N	134-130C	59	Set1	LC4-1	MEF2D.HNRNPUL1	LC4_1	early.pre.B	Set1_tmt16plex_131N
131C	134-130C	56	Set1	LC4-1	MEF2D.HNRNPUL1	LC4_1	early.pre.B	Set1_tmt16plex_131C
132N	134-130C	53	Set1	LC4-1	MEF2D.HNRNPUL1	LC4_1	early.pre.B	Set1_tmt16plex_132N
132C	134-130C	50	Set1	LC4-1	MEF2D.HNRNPUL1	LC4_1	early.pre.B	Set1_tmt16plex_132C
133N	134-130C	47	Set1	LC4-1	MEF2D.HNRNPUL1	LC4_1	early.pre.B	Set1_tmt16plex_133N
133C	134-130C	44	Set1	LC4-1	MEF2D.HNRNPUL1	LC4_1	early.pre.B	Set1_tmt16plex_133C
134N	134-130C	41	Set1	LC4-1	MEF2D.HNRNPUL1	LC4_1	early.pre.B	Set1_tmt16plex_134N
