set	labels	sample_name	subtype	sample_name_machine
Set1	126-130N	RCH-ACV	TCF3.PBX1	RCH_ACV
Set1	134-130C	LC4-1	MEF2D.HNRNPUL1	LC4_1
Set2	126-130N	REH	ETV6.RUNX1	REH
Set2	134-130C	P30-OHKUBO	MEF2D.HNRNPUL1	P30_OHKUBO
Set3	126-130N	KASUMI-9	MEF2D.HNRNPUL1	KASUMI_9
Set3	134-130C	SEM	KMT2A.AFF1	SEM
Set4	134-130C	697	TCF3.PBX1	697
Set4	126-130N	COG-LL-355h	ETV6.RUNX1	COG_355
Set5	134-130C	ALL-PO	KMT2A.AFF1	ALL_PO
Set5	126-130N	KASUMI-2	TCF3.PBX1	KASUMI_2
Set6	126-130N	SUP-B15	BCR.ABL1	SUP_B15
Set6	134-130C	MHH-CALL-3	TCF3.PBX1	MHH_CALL_3
Set7	126-130N	TMD5	BCR.ABL1	TMD5
Set7	134-130C	KOPN-8	KMT2A.MLLT1	KOPN_8
Set8	126-130N	NALL-1	PAX5.ETV6	NALL_1
Set8	134-130C	COG-LL-319h	TCF3.PBX1	COG_319
Set9	126-130N	MHH-CALL-2	PTMA.TMSB4X	MHH_CALL_2
Set9	134-130C	COG-LL-394h	ZMIZ1.ABL1	COG_394
Set10	126-130N	HAL-01	TCF3.HLF	HAL_01
Set10	134-130C	MHH-CALL-4	IGH.CRLF2	MHH_CALL_4
Set11	126-130N	RCH-ACV_BR2	TCF3.PBX1	RCH_ACV_BR2
Set11	134-130C	MHH-CALL-3_BR2	TCF3.PBX1	MHH_CALL_3_BR2
